Date,Open,High,Low,Close,Volume
17-May-13,910.02,913.49,900.52,909.18,2792663
16-May-13,919.00,919.98,902.01,903.87,3211738
15-May-13,895.50,916.38,894.02,915.89,3995319
14-May-13,877.50,888.69,877.14,887.10,1581296
13-May-13,878.89,882.47,873.38,877.53,1448730
10-May-13,875.31,880.54,872.16,880.23,1900717
9-May-13,870.84,879.66,868.23,871.48,2200758
8-May-13,857.00,873.88,852.91,873.63,2468403
7-May-13,863.01,863.87,850.67,857.23,1967986
6-May-13,848.26,861.85,848.26,861.55,2141834
3-May-13,836.96,846.80,836.00,845.72,2512661
2-May-13,820.10,834.55,819.05,829.61,2018546
1-May-13,823.26,824.72,816.36,820.43,1455634
30-Apr-13,819.00,827.64,817.68,824.57,2306836
29-Apr-13,803.25,822.70,803.00,819.06,2301967
26-Apr-13,807.60,807.74,796.58,801.42,2488237
25-Apr-13,816.25,816.47,807.63,809.10,1992301
24-Apr-13,808.11,818.00,808.00,813.45,1829151
23-Apr-13,801.00,815.50,800.36,807.90,2299900
22-Apr-13,800.60,803.96,775.00,800.11,2883407
19-Apr-13,769.16,803.44,766.26,799.87,5804316
18-Apr-13,785.35,785.80,761.26,765.91,3328777
17-Apr-13,786.75,790.84,778.10,782.56,2037355
16-Apr-13,786.59,796.00,783.92,793.37,1742374
15-Apr-13,785.95,797.00,777.02,781.93,2454767
12-Apr-13,791.99,792.10,782.93,790.05,1636829
11-Apr-13,792.88,793.10,784.06,790.39,2028766
10-Apr-13,782.92,792.35,776.00,790.18,1978862
9-Apr-13,775.50,783.75,773.11,777.65,2157928
8-Apr-13,778.75,779.55,768.40,774.85,2832718
5-Apr-13,786.06,786.99,776.40,783.05,3433994
4-Apr-13,804.25,805.75,791.30,795.07,2448102
3-Apr-13,813.46,814.20,800.67,806.20,1738753
2-Apr-13,804.54,814.83,804.00,813.04,2041713
1-Apr-13,795.01,802.25,793.25,801.19,1807580
28-Mar-13,803.99,805.37,793.30,794.19,2287712
27-Mar-13,806.68,807.00,801.33,802.66,2163295
26-Mar-13,813.50,814.00,807.79,812.42,1191912
25-Mar-13,812.41,819.23,806.82,809.64,1712684
22-Mar-13,814.74,815.24,809.64,810.31,1491678
21-Mar-13,811.29,816.92,809.85,811.26,1477590
20-Mar-13,816.83,817.51,811.44,814.71,1464122
19-Mar-13,811.24,819.25,806.45,811.32,2098176
18-Mar-13,805.00,812.76,801.47,807.79,1838552
15-Mar-13,818.50,820.30,813.34,814.30,3099791
14-Mar-13,826.99,826.99,817.39,821.54,1651111
13-Mar-13,827.90,830.69,822.31,825.31,1641413
12-Mar-13,830.71,831.89,823.67,827.61,2008979
11-Mar-13,831.69,839.70,831.50,834.82,1595678
8-Mar-13,834.50,834.92,825.05,831.52,2912283
7-Mar-13,834.06,836.62,829.58,832.60,2054238
6-Mar-13,841.02,844.00,828.81,831.38,2873998
5-Mar-13,828.93,840.15,828.90,838.60,4045034
4-Mar-13,805.30,822.84,805.00,821.50,2776185
1-Mar-13,797.80,807.14,796.15,806.19,2175425
28-Feb-13,801.10,806.99,801.03,801.20,2265874
27-Feb-13,794.80,804.75,791.11,799.78,2028515
26-Feb-13,795.00,795.95,784.40,790.13,2205059
25-Feb-13,802.30,808.41,790.49,790.77,2307008
22-Feb-13,799.26,801.25,793.80,799.71,2054050
21-Feb-13,798.00,805.45,791.22,795.53,3511036
20-Feb-13,805.30,808.97,791.79,792.46,2765029
19-Feb-13,795.99,807.00,795.28,806.85,2932924
15-Feb-13,787.40,793.26,787.07,792.89,2729917
14-Feb-13,779.73,788.74,777.77,787.82,1735219
13-Feb-13,780.13,785.35,779.97,782.86,1198170
12-Feb-13,781.75,787.90,779.37,780.70,1858945
11-Feb-13,778.40,783.00,773.75,782.42,2167656
8-Feb-13,780.13,786.67,779.56,785.37,3024853
7-Feb-13,769.70,778.81,765.50,773.95,2840506
6-Feb-13,759.07,772.96,758.50,770.17,2079687
5-Feb-13,761.13,771.11,759.46,765.74,1870716
4-Feb-13,767.69,770.47,758.27,759.02,3041242
1-Feb-13,758.20,776.60,758.10,775.60,3746165
31-Jan-13,750.51,757.62,750.25,755.69,1634556
30-Jan-13,753.74,760.95,752.91,753.83,1732972
29-Jan-13,746.75,756.95,746.54,753.68,1747734
28-Jan-13,751.76,755.60,747.89,750.73,1627833
25-Jan-13,750.77,758.48,750.25,753.67,2225811
24-Jan-13,741.24,756.83,740.51,753.83,3383596
23-Jan-13,735.99,749.00,735.79,741.50,5911865
22-Jan-13,704.66,705.34,695.52,702.87,3792336
18-Jan-13,710.36,712.77,701.33,704.51,3226898
17-Jan-13,717.71,719.64,711.02,711.32,2212357
16-Jan-13,722.40,724.34,713.67,715.19,2024991
15-Jan-13,719.33,735.00,712.10,724.93,3927990
14-Jan-13,737.00,742.20,722.35,723.25,2864106
11-Jan-13,742.00,742.43,736.30,739.99,1285125
10-Jan-13,742.83,745.00,733.50,741.48,1835780
9-Jan-13,732.27,738.35,728.60,738.12,2025751
8-Jan-13,735.54,736.30,724.43,733.30,1676740
7-Jan-13,735.45,739.38,730.58,734.75,1655967
4-Jan-13,729.34,741.47,727.68,737.97,2763552
3-Jan-13,724.93,731.93,720.72,723.67,2318140
2-Jan-13,719.42,727.00,716.55,723.25,2542268
31-Dec-12,700.00,710.57,696.00,707.38,1997733
28-Dec-12,701.69,706.91,700.01,700.01,1403926
27-Dec-12,707.14,708.84,698.61,706.29,1647392
26-Dec-12,708.07,712.88,702.41,708.87,1182572
24-Dec-12,714.51,715.18,707.47,709.50,841931
21-Dec-12,713.97,718.82,710.52,715.63,3527849
20-Dec-12,723.26,724.65,716.97,722.36,1657153
19-Dec-12,720.71,723.00,716.68,720.11,1919799
18-Dec-12,716.60,729.10,715.05,721.07,3005138
17-Dec-12,705.50,738.28,704.02,720.78,3036763
14-Dec-12,699.17,707.82,698.43,701.96,2130595
13-Dec-12,715.92,716.48,699.55,702.70,3446306
12-Dec-12,699.23,703.51,693.48,697.56,2426299
11-Dec-12,690.00,701.92,687.72,696.88,2687956
10-Dec-12,685.39,691.65,683.79,685.42,1366866
7-Dec-12,695.00,696.88,682.42,684.21,1919476
6-Dec-12,687.59,695.61,684.51,691.13,1462216
5-Dec-12,692.15,694.50,682.33,687.82,1862735
4-Dec-12,695.00,695.51,685.70,691.03,1991605
